GS1 Application Identifiers
https://www.gs1.org/standards/barcodes/application-identifiers?lang=es



AI       Descripción                                                                                                                                      Formato                    Titulo                                 FNC1          Expresión regular                                                         
00       Código Seriado de Contenedor de Embarque (SSCC)                                                                                                  N2+N18       		     SSCC                                   No            ^00(\d{18})$                                                                                            
3203	 Peso neto, libras (artículo comercial de medidas variables)                                                                                      N4+N6        		     NET WEIGHT (lb)                        No            ^3203(\d{6})$                                                                                           
3204	 Peso neto, libras (artículo comercial de medidas variables)                                                                                      N4+N6        		     NET WEIGHT (lb)                        No            ^3204(\d{6})$                                                                                           
3205	 Peso neto, libras (artículo comercial de medidas variables)                                                                                      N4+N6        		     NET WEIGHT (lb)                        No            ^3205(\d{6})$                                                                                           
3210	 Longitud o primera dimensión, pulgadas (artículo comercial de medidas variables)                                                                 N4+N6        		     LENGTH (in)                            No            ^3210(\d{6})$                                                                                           
3211	 Longitud o primera dimensión, pulgadas (artículo comercial de medidas variables)                                                                 N4+N6        		     LENGTH (in)                            No            ^3211(\d{6})$                                                                                           
3212	 Longitud o primera dimensión, pulgadas (artículo comercial de medidas variables)                                                                 N4+N6        		     LENGTH (in)                            No            ^3212(\d{6})$                                                                                           
3213	 Longitud o primera dimensión, pulgadas (artículo comercial de medidas variables)                                                                 N4+N6        		     LENGTH (in)                            No            ^3213(\d{6})$                                                                                           
3214	 Longitud o primera dimensión, pulgadas (artículo comercial de medidas variables)                                                                 N4+N6        		     LENGTH (in)                            No            ^3214(\d{6})$                                                                                           
3215	 Longitud o primera dimensión, pulgadas (artículo comercial de medidas variables)                                                                 N4+N6        		     LENGTH (in)                            No            ^3215(\d{6})$                                                                                           
3220	 Longitud o primera dimensión, pies (artículo comercial de medidas variables)                                                                     N4+N6        		     LENGTH (ft)                            No            ^3220(\d{6})$                                                                                           
3221	 Longitud o primera dimensión, pies (artículo comercial de medidas variables)                                                                     N4+N6        		     LENGTH (ft)                            No            ^3221(\d{6})$                                                                                           
3222	 Longitud o primera dimensión, pies (artículo comercial de medidas variables)                                                                     N4+N6        		     LENGTH (ft)                            No            ^3222(\d{6})$                                                                                           
3223	 Longitud o primera dimensión, pies (artículo comercial de medidas variables)                                                                     N4+N6        		     LENGTH (ft)                            No            ^3223(\d{6})$                                                                                           
3224	 Longitud o primera dimensión, pies (artículo comercial de medidas variables)                                                                     N4+N6        		     LENGTH (ft)                            No            ^3224(\d{6})$                                                                                           
3225	 Longitud o primera dimensión, pies (artículo comercial de medidas variables)                                                                     N4+N6        		     LENGTH (ft)                            No            ^3225(\d{6})$                                                                                           
3230	 Longitud o primera dimensión, yardas (artículo comercial de medidas variables)                                                                   N4+N6        		     LENGTH (yd)                            No            ^3230(\d{6})$                                                                                           
3231	 Longitud o primera dimensión, yardas (artículo comercial de medidas variables)                                                                   N4+N6        		     LENGTH (yd)                            No            ^3231(\d{6})$                                                                                           
3232	 Longitud o primera dimensión, yardas (artículo comercial de medidas variables)                                                                   N4+N6        		     LENGTH (yd)                            No            ^3232(\d{6})$                                                                                           
3233	 Longitud o primera dimensión, yardas (artículo comercial de medidas variables)                                                                   N4+N6        		     LENGTH (yd)                            No            ^3233(\d{6})$                                                                                           
3234	 Longitud o primera dimensión, yardas (artículo comercial de medidas variables)                                                                   N4+N6        		     LENGTH (yd)                            No            ^3234(\d{6})$                                                                                           
3235	 Longitud o primera dimensión, yardas (artículo comercial de medidas variables)                                                                   N4+N6        		     LENGTH (yd)                            No            ^3235(\d{6})$                                                                                           
3240	 Ancho, diámetro, o segunda dimensión, pulgadas (artículo comercial de medidas variables)                                                         N4+N6        		     WIDTH (in)                             No            ^3240(\d{6})$                                                                                           
3241	 Ancho, diámetro, o segunda dimensión, pulgadas (artículo comercial de medidas variables)                                                         N4+N6        		     WIDTH (in)                             No            ^3241(\d{6})$                                                                                           
3242	 Ancho, diámetro, o segunda dimensión, pulgadas (artículo comercial de medidas variables)                                                         N4+N6        		     WIDTH (in)                             No            ^3242(\d{6})$                                                                                           
3243	 Ancho, diámetro, o segunda dimensión, pulgadas (artículo comercial de medidas variables)                                                         N4+N6        		     WIDTH (in)                             No            ^3243(\d{6})$                                                                                           
3244	 Ancho, diámetro, o segunda dimensión, pulgadas (artículo comercial de medidas variables)                                                         N4+N6        		     WIDTH (in)                             No            ^3244(\d{6})$                                                                                           
3245	 Ancho, diámetro, o segunda dimensión, pulgadas (artículo comercial de medidas variables)                                                         N4+N6        		     WIDTH (in)                             No            ^3245(\d{6})$                                                                                           
3250	 Ancho, diámetro, o segunda dimensión, pies (artículo comercial de medidas variables)                                                             N4+N6        		     WIDTH (ft)                             No            ^3250(\d{6})$                                                                                           
3251	 Ancho, diámetro, o segunda dimensión, pies (artículo comercial de medidas variables)                                                             N4+N6        		     WIDTH (ft)                             No            ^3251(\d{6})$                                                                                           
3252	 Ancho, diámetro, o segunda dimensión, pies (artículo comercial de medidas variables)                                                             N4+N6        		     WIDTH (ft)                             No            ^3252(\d{6})$                                                                                           
3253	 Ancho, diámetro, o segunda dimensión, pies (artículo comercial de medidas variables)                                                             N4+N6        		     WIDTH (ft)                             No            ^3253(\d{6})$                                                                                           
3254	 Ancho, diámetro, o segunda dimensión, pies (artículo comercial de medidas variables)                                                             N4+N6        		     WIDTH (ft)                             No            ^3254(\d{6})$                                                                                           
3255	 Ancho, diámetro, o segunda dimensión, pies (artículo comercial de medidas variables)                                                             N4+N6        		     WIDTH (ft)                             No            ^3255(\d{6})$                                                                                           
3260	 Ancho, diámetro, o segunda dimensión, yardas (artículo comercial de medidas variables)                                                           N4+N6        		     WIDTH (yd)                             No            ^3260(\d{6})$                                                                                           
3261	 Ancho, diámetro, o segunda dimensión, yardas (artículo comercial de medidas variables)                                                           N4+N6        		     WIDTH (yd)                             No            ^3261(\d{6})$                                                                                           
3262	 Ancho, diámetro, o segunda dimensión, yardas (artículo comercial de medidas variables)                                                           N4+N6        		     WIDTH (yd)                             No            ^3262(\d{6})$                                                                                           
3263	 Ancho, diámetro, o segunda dimensión, yardas (artículo comercial de medidas variables)                                                           N4+N6        		     WIDTH (yd)                             No            ^3263(\d{6})$                                                                                           
3264	 Ancho, diámetro, o segunda dimensión, yardas (artículo comercial de medidas variables)                                                           N4+N6        		     WIDTH (yd)                             No            ^3264(\d{6})$                                                                                           
3265	 Ancho, diámetro, o segunda dimensión, yardas (artículo comercial de medidas variables)                                                           N4+N6        		     WIDTH (yd)                             No            ^3265(\d{6})$                                                                                           
3270	 Profundidad, grosor, altura, o tercera dimensión, pulgadas (artículo comercial de medidas variables)                                             N4+N6        		     HEIGHT (in)                            No            ^3270(\d{6})$                                                                                           
3271	 Profundidad, grosor, altura, o tercera dimensión, pulgadas (artículo comercial de medidas variables)                                             N4+N6        		     HEIGHT (in)                            No            ^3271(\d{6})$                                                                                           
3272	 Profundidad, grosor, altura, o tercera dimensión, pulgadas (artículo comercial de medidas variables)                                             N4+N6        		     HEIGHT (in)                            No            ^3272(\d{6})$                                                                                           
3273	 Profundidad, grosor, altura, o tercera dimensión, pulgadas (artículo comercial de medidas variables)                                             N4+N6        		     HEIGHT (in)                            No            ^3273(\d{6})$                                                                                           
3274	 Profundidad, grosor, altura, o tercera dimensión, pulgadas (artículo comercial de medidas variables)                                             N4+N6        		     HEIGHT (in)                            No            ^3274(\d{6})$                                                                                           
