GS1 Application Identifiers
https://www.gs1.org/standards/barcodes/application-identifiers?lang=es



AI       Descripción                                                                                                                                      Formato                    Titulo                                 FNC1          Expresión regular                                                         
00       Código Seriado de Contenedor de Embarque (SSCC)                                                                                                  N2+N18       		     SSCC                                   No            ^00(\d{18})$                                                                                            
3924	 Importe aplicable a pagar, zona monetaria única (artículo comercial de medida variable)                                                          N4+N..15     		     PRICE                                  Si            ^3924(\d{0,15})$                                                                                        
3925	 Importe aplicable a pagar, zona monetaria única (artículo comercial de medida variable)                                                          N4+N..15     		     PRICE                                  Si            ^3925(\d{0,15})$                                                                                        
3926	 Importe aplicable a pagar, zona monetaria única (artículo comercial de medida variable)                                                          N4+N..15     		     PRICE                                  Si            ^3926(\d{0,15})$                                                                                        
3927	 Importe aplicable a pagar, zona monetaria única (artículo comercial de medida variable)                                                          N4+N..15     		     PRICE                                  Si            ^3927(\d{0,15})$                                                                                        
3928	 Importe aplicable a pagar, zona monetaria única (artículo comercial de medida variable)                                                          N4+N..15     		     PRICE                                  Si            ^3928(\d{0,15})$                                                                                        
3929	 Importe aplicable a pagar, zona monetaria única (artículo comercial de medida variable)                                                          N4+N..15     		     PRICE                                  Si            ^3929(\d{0,15})$                                                                                        
3930	 Importe aplicable a pagar con código de moneda ISO (artículo comercial de medida variable)                                                       N4+N3+N..15  		     PRICE                                  Si            ^3930(\d{3})(\d{0,15})$                                                                                 
3931	 Importe aplicable a pagar con código de moneda ISO (artículo comercial de medida variable)                                                       N4+N3+N..15  		     PRICE                                  Si            ^3931(\d{3})(\d{0,15})$                                                                                 
3932	 Importe aplicable a pagar con código de moneda ISO (artículo comercial de medida variable)                                                       N4+N3+N..15  		     PRICE                                  Si            ^3932(\d{3})(\d{0,15})$                                                                                 
3933	 Importe aplicable a pagar con código de moneda ISO (artículo comercial de medida variable)                                                       N4+N3+N..15  		     PRICE                                  Si            ^3933(\d{3})(\d{0,15})$                                                                                 
3934	 Importe aplicable a pagar con código de moneda ISO (artículo comercial de medida variable)                                                       N4+N3+N..15  		     PRICE                                  Si            ^3934(\d{3})(\d{0,15})$                                                                                 
3935	 Importe aplicable a pagar con código de moneda ISO (artículo comercial de medida variable)                                                       N4+N3+N..15  		     PRICE                                  Si            ^3935(\d{3})(\d{0,15})$                                                                                 
3936	 Importe aplicable a pagar con código de moneda ISO (artículo comercial de medida variable)                                                       N4+N3+N..15  		     PRICE                                  Si            ^3936(\d{3})(\d{0,15})$                                                                                 
3937	 Importe aplicable a pagar con código de moneda ISO (artículo comercial de medida variable)                                                       N4+N3+N..15  		     PRICE                                  Si            ^3937(\d{3})(\d{0,15})$                                                                                 
3938	 Importe aplicable a pagar con código de moneda ISO (artículo comercial de medida variable)                                                       N4+N3+N..15  		     PRICE                                  Si            ^3938(\d{3})(\d{0,15})$                                                                                 
3939	 Importe aplicable a pagar con código de moneda ISO (artículo comercial de medida variable)                                                       N4+N3+N..15  		     PRICE                                  Si            ^3939(\d{3})(\d{0,15})$                                                                                 
3940	 Porcentaje de descuento de un cupón                                                                                                              N4+N4        		     PRCNT OFF                              Si            ^3940(\d{4})$                                                                                           
3941	 Porcentaje de descuento de un cupón                                                                                                              N4+N4        		     PRCNT OFF                              Si            ^3941(\d{4})$                                                                                           
3942	 Porcentaje de descuento de un cupón                                                                                                              N4+N4        		     PRCNT OFF                              Si            ^3942(\d{4})$                                                                                           
3943	 Porcentaje de descuento de un cupón                                                                                                              N4+N4        		     PRCNT OFF                              Si            ^3943(\d{4})$                                                                                           
400	 Número de orden de compra del cliente                                                                                                            N3+X..30     		     ORDER NUMBER                           Si            ^400([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,30})$                                        
401	 Número de Identificación Global para Consignación (GINC)                                                                                         N3+X..30     		     GINC                                   Si            ^401([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,30})$                                        
402	 Número de Identificación Global de Envío (GSIN)                                                                                                  N3+N17       		     GSIN                                   Si            ^402(\d{17})$                                                                                           
403	 Código de enrutamiento                                                                                                                           N3+X..30     		     ROUTE                                  Si            ^403([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,30})$                                        
410	 Enviar a - Enviar a Número Global de Localización                                                                                                N3+N13       		     SHIP TO LOC                            No            ^410(\d{13})$                                                                                           
411	 Cobrar a - Facturar a Número Global de Localización                                                                                              N3+N13       		     BILL TO                                No            ^411(\d{13})$                                                                                           
412	 Comprado de Número Global de Localización                                                                                                        N3+N13       		     PURCHASE FROM                          No            ^412(\d{13})$                                                                                           
413	 Enviar para - Entregar - Reenviar a Número Global de Localización                                                                                N3+N13       		     SHIP FOR LOC                           No            ^413(\d{13})$                                                                                           
414	 Identificación de un lugar físico - Número de Localización Global                                                                                N3+N13       		     LOC No                                 No            ^414(\d{13})$                                                                                           
415	 Número Global de Localización del emisor de la factura                                                                                           N3+N13       		     PAY TO                                 No            ^415(\d{13})$                                                                                           
416	 GLN del lugar de producción o servicio                                                                                                           N3+N13       		     PROD/SERV LOC                          No            ^416(\d{13})$                                                                                           
417	 GLN de la empresa                                                                                                                                N3+N13       		     PARTY                                  No            417(\d{13})$                                                                                            
420	 Enviar a - Enviar a código postal dentro de una única autoridad postal                                                                           N3+X..20     		     SHIP TO POST                           Si            ^420([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,20})$                                        
421	 Enviar a - Enviar a código postal con código de país ISO                                                                                         N3+N3+X..9   		     SHIP TO POST                           Si            ^421(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,9})$                                  
422	 País de origen de un artículo comercial                                                                                                          N3+N3        		     ORIGIN                                 Si            ^422(\d{3})$                                                                                            
423	 País de procesamiento inicial                                                                                                                    N3+N3+N..12  		     COUNTRY - INITIAL PROCESS.             Si            ^423(\d{3})(\d{0,12})$                                                                                  
424	 País de procesamiento                                                                                                                            N3+N3        		     COUNTRY - PROCESS.                     Si            ^424(\d{3})$                                                                                            
425	 País de desmontaje                                                                                                                               N3+N3+N..12  		     COUNTRY - DISASSEMBLY                  Si            ^425(\d{3})(\d{0,12})$                                                                                  
426	 País cubriendo cadena de proceso completa                                                                                                        N3+N3        		     COUNTRY - FULL PROCESS                 Si            ^426(\d{3})$                                                                                            
427	 Subdivisión de país de origen                                                                                                                    N3+X..3      		     ORIGIN SUBDIVISION                     Si            ^427([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,3})$                                         
7001	 OTAN Número de stock (NSN)                                                                                                                       N4+N13       		     NSN                                    Si            ^7001(\d{13})$                                                                                          
7002	 ONU / ECE clasificación de canales y cortes de carne                                                                                             N4+X..30     		     MEAT CUT                               Si            ^7002([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,30})$                                       
7003	 Fecha y hora de caducidad                                                                                                                        N4+N10       		     EXPIRY TIME                            Si            ^7003(\d{10})$                                                                                          
7004	 Potencia activa                                                                                                                                  N4+N..4      		     ACTIVE POTENCY                         Si            ^7004(\d{0,4})$                                                                                         
7005	 Zona de captura                                                                                                                                  N4+X..12     		     CATCH AREA                             Si            ^7005([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,12})$                                       
7006	 Primera fecha de congelación                                                                                                                     N4+N6        		     FIRST FREEZE DATE                      Si            ^7006(\d{6})$                                                                                           
7007	 Fecha de cosecha                                                                                                                                 N4+N6..12    		     HARVEST DATE                           Si            ^7007(\d{6,12})$                                                                                        
7008	 Especies con fines pesqueros                                                                                                                     N4+X..3      		     AQUATIC SPECIES                        Si            ^7008([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,3})$                                        
7009	 Tipo de equipo de Pesca                                                                                                                          N4+X..10     		     FISHING GEAR TYPE                      Si            ^7009([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,10})$                                       
7010	 Método de producción                                                                                                                             N4+X..2      		     PROD METHOD                            Si            ^7010([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,2})$                                        
7020	 ID de lote remodelación                                                                                                                          N4+X..20     		     REFURB LOT                             Si            ^7020([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,20})$                                       
7021	 Estado funcional                                                                                                                                 N4+X..20     		     FUNC STAT                              Si            ^7021([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,20})$                                       
7022	 Estado de revisión                                                                                                                               N4+X..20     		     REV STAT                               Si            ^7022([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,20})$                                       
7023	 Identificador Global de un Bien Individual (GIAI) de un ensamblado                                                                               N4+X..30     		     GIAI - ASSEMBLY                        Si            ^7023([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,30})$                                       
7030	 Número de procesador con código de país ISO                                                                                                      N4+N3+X..27  		     PROCESSOR # 0                          Si            ^7030(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,27})$                                
7031	 Número de procesador con código de país ISO                                                                                                      N4+N3+X..27  		     PROCESSOR # 1                          Si            ^7031(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,27})$                                
7032	 Número de procesador con código de país ISO                                                                                                      N4+N3+X..27  		     PROCESSOR # 2                          Si            ^7032(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,27})$                                
7033	 Número de procesador con código de país ISO                                                                                                      N4+N3+X..27  		     PROCESSOR # 3                          Si            ^7033(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,27})$                                
7034	 Número de procesador con código de país ISO                                                                                                      N4+N3+X..27  		     PROCESSOR # 4                          Si            ^7034(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,27})$                                
7035	 Número de procesador con código de país ISO                                                                                                      N4+N3+X..27  		     PROCESSOR # 5                          Si            ^7035(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,27})$                                
7036	 Número de procesador con código de país ISO                                                                                                      N4+N3+X..27  		     PROCESSOR # 6                          Si            ^7036(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,27})$                                
7037	 Número de procesador con código de país ISO                                                                                                      N4+N3+X..27  		     PROCESSOR # 7                          Si            ^7037(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,27})$                                
7038	 Número de procesador con código de país ISO                                                                                                      N4+N3+X..27  		     PROCESSOR # 8                          Si            ^7038(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,27})$                                
7039	 Número de procesador con código de país ISO                                                                                                      N4+N3+X..27  		     PROCESSOR # 9                          Si            ^7039(\d{3})([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,27})$                                
7040	 GS1 UIC con extensión 1 e índice de Importador                                                                                                   N4+N1+X3     		     UIC+EXT                                No            7040(\d[\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{3})$                                         
710	 Número nacional de reembolso en Salud (NHRN) - PZN Alemania                                                                                      N3+X..20     		     NHRN PZN                               Si            ^710([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,20})$                                        
711	 Número nacional de reembolso en Salud (NHRN) - CIP Francia                                                                                       N3+X..20     		     NHRN CIP                               Si            ^711([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,20})$                                        
712	 Número nacional de reembolso en Salud (NHRN) - CN España                                                                                         N3+X..20     		     NHRN CN                                Si            ^712([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,20})$                                        
713	 Número nacional de reembolso en Salud (NHRN) - DRN Brasil                                                                                        N3+X..20     		     NHRN DRN                               Si            ^713([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,20})$                                        
714	 Número nacional de reembolso en Salud (NHRN) - AIM Portugal                                                                                      N3+X..20     		     NHRN AIM                               Si            ^714([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,20})$                                        
7230	 Referencia para la certificación                                                                                                                 N4+X2+X..28  		     CERT #1                                Si            ^7230([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{2,30})$                                       
7231	 Referencia para la certificación                                                                                                                 N4+X2+X..28  		     CERT #2                                Si            ^7231([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{2,30})$                                       
7232	 Referencia para la certificación                                                                                                                 N4+X2+X..28  		     CERT #3                                Si            ^7232([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{2,30})$                                       
7233	 Referencia para la certificación                                                                                                                 N4+X2+X..28  		     CERT #4                                Si            ^7233([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{2,30})$                                       
7234	 Referencia para la certificación                                                                                                                 N4+X2+X..28  		     CERT #5                                Si            ^7234([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{2,30})$                                       
7235	 Referencia para la certificación                                                                                                                 N4+X2+X..28  		     CERT #6                                Si            ^7235([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{2,30})$                                       
7236	 Referencia para la certificación                                                                                                                 N4+X2+X..28  		     CERT #7                                Si            ^7236([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{2,30})$                                       
7237	 Referencia para la certificación                                                                                                                 N4+X2+X..28  		     CERT #8                                Si            ^7237([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{2,30})$                                       
7238	 Referencia para la certificación                                                                                                                 N4+X2+X..28  		     CERT #9                                Si            ^7238([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{2,30})$                                       
7239	 Referencia para la certificación                                                                                                                 N4+X2+X..28  		     CERT #10                               Si            ^7239([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{2,30})$                                       
7240	 ID de protocolo                                                                                                                                  N4+X..20     		     PROTOCOL                               No            7240 ([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,20})$                                       
8001	 Número nacional de reembolso en Salud (NHRN) - NHRN País “A”                                                                                     N4+N14       		     DIMENSIONS                             Si            ^8001(\d{14})$                                                                                          
8002	 Identificador de telefonía móvil celular                                                                                                         N4+X..20     		     CMT No                                 Si            ^8002([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,20})$                                       
8003	 Identificador Global de Bien Retornable (GRAI)                                                                                                   N4+N14+X..16 		     GRAI                                   Si            ^8003(\d{14})([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,16})$                               
8004	 Identificador Global de Bien Individual (GIAI)                                                                                                   N4+X..30     		     GIAI                                   Si            ^8004([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,30})$                                       
8005	 Precio por unidad de medida                                                                                                                      N4+N6        		     PRICE PER UNIT                         Si            ^8005(\d{6})$                                                                                           
8006	 Identification of an individual trade item piece                                                                                                 N4+N14+N2+N2 		     ITIP                                   Si            ^8006(\d{14})(\d{2})(\d{2})$                                                                            
8007	 Número de cuenta bancaria internacional (IBAN)                                                                                                   N4+X..34     		     IBAN                                   Si            ^8007([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,34})$                                       
8008	 Fecha y hora de la producción                                                                                                                    N4+N8+N..4   		     PROD TIME                              Si            ^8008(\d{8})(\d{0,4})$                                                                                  
8009	 Indicador del sensor ópticamente legible                                                                                                         N4+X..50     		     OPTSEN                                 Si            ^8009([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,50})$                                       
8010	 Identificador de componente / parte (CPID)                                                                                                       N4+Y..30     		     CPID                                   Si            ^8010([\x23\x2D\x2F\x30-\x39\x41-\x5A]{0,30})$                                                          
8011	 Número de serie de identificador de componente / parte de (CPID DE SERIE)                                                                        N4+N..12     		     CPID SERIAL                            Si            ^8011(\d{0,12})$                                                                                        
8012	 Versión del software                                                                                                                             N4+X..20     		     VERSION                                Si            ^8012([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,20})$                                       
8013	 Número Global de Modelo (GMN)                                                                                                                    N4+X..30     		     GMN (for medical devices, the default, Si            ^8013([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,30})$         global data title is BUDI-DI) 
8017	 Número de Relación de Servicio Global para identificar la relación entre una organización que ofrece servicios y el proveedor de los servicios   N4+N18       		     GSRN - PROVIDER                        Si            ^8017(\d{18})$                                                                                          
8018	 Número de Relación de Servicio Global para identificar la relación entre una organización que ofrece servicios y el receptor de los servicios    N4+N18       		     GSRN - RECIPIENT                       Si            ^8018(\d{18})$                                                                                          
8019	 Número de instancia de relación de servicio (SRIN)                                                                                               N4+N..10     		     SRIN                                   Si            ^8019(\d{0,10})$                                                                                        
8020	 Número de referencia de comprobante de pago                                                                                                      N4+X..25     		     REF No                                 Si            ^8020([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,25})$                                       
8026	 Identificación de las piezas de un artículo comercial (ITIP) contenidas en una unidad logística                                                  N4+N14+N2+N2 		     ITIP CONTENT                           Si            ^8026(\d{14})(\d{2})(\d{2})$                                                                            
8110	 Identificación de código de cupón para uso en Norte América                                                                                      N4+X..70     		                                            Si            ^8110([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,70})$                                       
8111	 Puntos de fidelidad de un cupón                                                                                                                  N4+N4        		     POINTS                                 Si            ^8111(\d{4})$                                                                                           
8112	 Identificación de código de cupón sin papel para uso en América del Norte                                                                        N4+X..70     		                                            Si            ^8112([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,70})$                                       
8200	 URL de embalaje extendido                                                                                                                        N4+X..70     		     PRODUCT URL                            Si            ^8200([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,70})$                                       
90	 Información de mutuo acuerdo entre socios comerciales                                                                                            N2+X..30     		     INTERNAL                               Si            ^90([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,30})$                                         
91	 Información interna de compañía                                                                                                                  N2+X..90     		     INTERNAL                               Si            ^91([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,90})$                                         
92	 Información interna de compañía                                                                                                                  N2+X..90     		     INTERNAL                               Si            ^92([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,90})$                                         
93	 Información interna de compañía                                                                                                                  N2+X..90     		     INTERNAL                               Si            ^93([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,90})$                                         
94	 Información interna de compañía                                                                                                                  N2+X..90     		     INTERNAL                               Si            ^94([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,90})$                                         
95	 Información interna de compañía                                                                                                                  N2+X..90     		     INTERNAL                               Si            ^95([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,90})$                                         
96	 Información interna de compañía                                                                                                                  N2+X..90     		     INTERNAL                               Si            ^96([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,90})$                                         
97	 Información interna de compañía                                                                                                                  N2+X..90     		     INTERNAL                               Si            ^97([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,90})$                                         
98	 Información interna de compañía                                                                                                                  N2+X..90     		     INTERNAL                               Si            ^98([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,90})$                                         
99	 Información interna de compañía                                                                                                                  N2+X..90     		     INTERNAL                               Si            ^99([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,90})$                                         
